,company_brand,founded,headquarter,sector,about_company,founders,investor,amount,series,year
2562,Groww,2015,Kormangala,"Finance, Impact Investing, Internet",Groww offers a new way of investing money.,None,None,120000.0,validation,2018-01-01
2563,Cell Propulsion,2015,Bangalore,"Finance, Impact Investing, Internet",Cell Propulsion is an electric mobility startup that designs autonomous electric vehicles.,None,None,0.0,validation,2018-01-01
2564,Chezuba,2015,Hyderabad,"Internet, Social Entrepreneurship",Chezuba is a web-based platform enabling skilled professionals to volunteer online with Non-profits worldwide,None,None,0.0,validation,2018-01-01
2565,Ontrack Technologies Pvt. Ltd,2015,Bangalore,Retail,Ontrack provides affordable independent transport to those dependent on cabs and autos for commute by renting bikes on a monthly basis.,None,None,0.0,validation,2018-01-01
2566,Wealthtrust,2015,Mumbai,"Finance, Impact Investing, Mobile Apps",Wealthtrust offers a wealth manager application that enables its users to invest and manage their investments online.,None,None,500000.0,validation,2018-01-01
2567,Faclon Labs,2015,Mumbai,"Cloud Computing, Computer, Software",Faclon is an IoT and data analytics based tech startup building products to make cities and villages smart.,None,None,0.0,validation,2018-01-01
2568,Awign Enterprises,2015,Bangalore,"Business Development, Market Research, Outsourcing",Operations and manpower outsourcing startup,None,None,0.0,validation,2018-01-01
2569,CollPoll,2015,Bangalore,Education,World-class Enterprise System for Education.,None,None,0.0,validation,2018-01-01
2570,Zyla Health,2015,Delhi,"Health Care, Hospitality",Zyla is transforming the way healthcare is delivered in India with specific focus on high-risk chronic patients.,None,None,0.0,validation,2018-01-01
2571,Hubhopper,2015,Delhi,"Internet, Social News, Sports",Get your daily dose of interest as summaries from news and magazine stories .,None,None,500000.0,early traction,2018-01-01
2572,Rubix108 Technologies,2015,Pune,Information Technology,Rubix Total App makes it effortless for Institutes to send home important information and updates about the day’s learning experiences.,None,None,1000000.0,validation,2018-01-01
2573,Workflexi,2015,Bangalore,Human Resources and HR Technology,"Be Smart, Work on Contract,Be Smart, Hire on Contract",None,None,0.0,validation,2018-01-01
2574,Streak,2015,Bangalore,Financial Services,Algorithmic trading platform.,None,None,0.0,validation,2018-01-01
2575,Kuants,2015,Gurgaon,Financial Services,Algorithmic trading platform.,None,None,0.0,validation,2018-01-01
2576,NiYO Solutions,2015,Bangalore,"Finance, Financial Services, FinTech",NiYO is a fintech company that helps salaried employees access company benefits and other financial services.,None,None,13200000.0,early traction,2018-01-01
2577,Hippo Video,2015,Chennai,"Customer Service, Software, Video, Video Streaming",A video recording and sharing software.,None,None,0.0,validation,2018-01-01
2578,Satvacart,2015,Gurgaon,"E-Commerce, Food Processing",Satvacart is a Gurgaon’s largest online supermarket,None,None,0.0,validation,2018-01-01
2579,Daaki,2015,Bangalore,Health Care,Sports Nutrition startup,None,None,0.0,validation,2018-01-01
2580,Simulanis,2015,Delhi,Training,A Delhi-based Augmented Reality and Virtual Reality technology development company.,None,None,500000.0,validation,2018-01-01
2581,MY CHIRAAG CAB,2015,Jaipur,Travel,MY CHIRAAG CAB SERVICES PVT LTD,None,None,1000000.0,validation,2018-01-01
2582,WOTU,2015,Bangalore,Food and Beverages,It operates a business-to-business e-commerce portal for food and beverages.,None,None,0.0,validation,2018-01-01
2583,Flathalt,2015,Gurgaon,Food and Beverages,FInd your Customized Home here.,None,None,50000.0,validation,2018-01-01
2584,True Elements,2015,Pune,"Dietary Supplements, Food and Beverage, Health Care, Organic Food, Snack Food",True elements offers a range of high-quality snacks and supplements that are inspired by natural foods consumed by our ancestors.,None,None,0.0,validation,2018-01-01
