,company_brand,founded,headquarter,sector,about_company,founders,investor,amount,series,year
470,Murf.ai,2020,Bangalore,Software-as-a-Service,"Murf AI is working on simplifying voice audio and making high-quality voice overs accessible to everyone, using artificial intelligence.","Sneha Roy, Ankur Edkie, Divyanshu Pandey",levation Capital,1500000.0,validation,2021-01-01
471,JetSynthesys,2014,Pune,Media and Entertainment,"JetSynthesys is the group's most innovative company in the promising Digital and Technology Business World with a vision to create world class digital products, platforms and services in India",ajan navani,Sachin Tendulkar,2000000.0,others,2021-01-01
472,MYFITNESS,2019,Silvassa,Fitness,"A new age D2C health & fitness brand with a mission to deliver products that taste good, feel good and do good.","Mohammad Patel, Rahil Virani",9Unicorns,1000000.0,validation,2021-01-01
473,I am Love,2020,Mumbai,Healthcare,"I am Love came into existence in early 2020, with the aim of redefining the relationship we have with our health.",Shilpa Rathi,Xentel Investments,4000000.0,validation,2021-01-01
474,MyGlamm,2015,Mumbai,Direct-to-Consumer,MyGlamm is India’s fastest growing direct-to-consumer beauty brand.,"Darpan Sanghvi, Priyanka Gill",Accel Partners,40000000.0,others,2021-01-01
475,Gumlet,2019,Bangalore,Information Technology,Gumlet has built a new-age media delivery infrastructure that provides low code or no-code integration plugins that automate the entire media publishing pipeline.,"Divyesh Patel, Aditya Patadia",Sequoia’s Surge,1600000.0,others,2021-01-01
476,Eloelo,2015,Bangalore,Gaming,Creator-led Social Gaming & Live Streaming Platform,"Saurabh Pandey, Akshay Dubey",Waterbridge,2000000.0,early traction,2021-01-01
477,Edukemy,2020,Noida,Education Technology,"Edukemy is the first EdTech company in the country, in the non –STEM segment, offering an immersive learning experience to the students, supported by cutting-edge technology and an AI-based evaluation system.",Chandrahas Panigrahi,Auxano,2000000.0,early traction,2021-01-01
478,Zingbus,2019,Gurgaon,Transportation and Mobility,Zingbus is a renowned brand in the bus operating industry.,"Mratunjay, Prashant Kumar, Ravi Kumar Verma",Infoedge ventures,5000000.0,early traction,2021-01-01
479,NewsReach,2018,Ahmedabad,Media and Entertainment,NewsReach is a Mumbai based company that wants to create a disruptive ecosystem of original and local news content.,"Soniya Kundnani, Darshan Shah",JITO Angel Network,300000.0,validation,2021-01-01
480,Pencilton,2017,Hyderabad,Fintech,"India's first app for kids & teens to manage and spend pocket money while learning about money in a fun, gamified way.","VishwajitPureti, Ashish Singh, Pallavi Tipparaju, Viraj Gadde",Jupiter,330000.0,validation,2021-01-01
481,Bandhoo,2020,Gurgaon,Information Technology,"Bringing ease of eCommerce to Construction for builders, infrastructure companies, contractors and workers","Prashant Gupta, Sridhar Sundaram",Unitus Ventures,1000000.0,others,2021-01-01
482,ixigo,2007,Gurgaon,Information Technology,"AI-based travel app offering seamless planning and booking for flights, trains, buses, hotels and more!","ajnish Kumar, Aloke Bajpai",GIC,53000000.0,others,2021-01-01
483,The Whole Truth,2019,Mumbai,Food and Beverages,"Believe simple, homely ingredients, minimally processed, are the secret to nutritious, tasty food",Shashank Mehta,Sequoia Capital,6000000.0,early traction,2021-01-01
484,Insane AI,2021,Bangalore,Fitness,Mainstream fitness formats are a primitive solution to the modern problems of a sedentary lifestyle.,"Anurag Mundhada, Jayesh Hannurkar, Sourabh Agrawal",pi Ventures,800000.0,validation,2021-01-01
485,Learn4o Technology,2020,Jaipur,E-learning and Education Management,"Trying to solve the problem of unemployment in young graduates, who, despite having college degrees, don't have the skills for the real world.",Kamal Kant Gupta,IAN,0.0,validation,2021-01-01
486,Droom,2014,Gurgaon,Automotive,"Droom is an AI and data science driven online transactional platform, which offers 21st century experience in buying & selling used & new automobiles in India",Sandeep Aggarwal,None,200000000.0,others,2021-01-01
487,Skymet,2003,Noida,"Renewable Energy, Environmental Services, and Clean Technology",Provide services that allow clients to understand and organize themselves around changing environment.,Yogesh Patil,Northern Arc,1000000.0,others,2021-01-01
488,Go Swift,2019,Bangalore,Consumer Goods and Services,Help small & medium sized businesses to grow by helping them with their shipping requirements at the cheapest and most reliable service.,"Shyam Kalita, Debanshu Sinha, Prayas Mittal",Kalaari Capital,2000000.0,early traction,2021-01-01
489,Mamaearth,2016,Gurgaon,Healthcare,A brand which develops products from world-class research and attempts to solve every little problem that we as parents face.,"Varun Alagh, Ghazal Alagh",Sofina Ventures SA,50000000.0,others,2021-01-01
490,G.O.A.T,2021,Bangalore,Direct-to-Consumer,G.O.A.T Brand Labs provides a tech-enabled platform for D2C brands to scale.,"ishi Vasudev, Rameswar Misra",Tiger Global,36000000.0,early traction,2021-01-01
491,Keeros,2017,Lucknow,Food and Beverages,"Keeros Roasted Supersnacks that are Healthy for All, Safe for Diabetics.","Sachin Sahni, Simran Sahni",Venture Catalysts,0.0,early traction,2021-01-01
492,ReDesyn,2016,Mumbai,Merchandise,"Merchandise drop-shipping platform for influencers, designers, creators & brands.","Smriti Dubey, Shikhar Vaidya",Anthill Ventures,300000.0,early traction,2021-01-01
493,Inspacco,2019,Pune,Facilities Services,"For residential commercial and industrial establishments , Inspacco is a one stop solution , that delivers affordable improvement and maintenance services","Sanket Nerkar, Paresh Kotkar",None,200000.0,others,2021-01-01
494,Knorish,2016,Gurgaon,Education Technology,"Saas platform offers a feature packed platform enables businesses, experts, professionals, artists, instructors, specialists, coaches, people seeking work from home opportunities","akhi Wadhwa, Kinner N Sacchdev",Inflection Point Ventures,1000000.0,early traction,2021-01-01
495,Dozee,2015,Bangalore,Healthcare,"Dozee is India's only contactless health monitor that silently tracks your heart, respiration, sleep patterns, stress levels, cardiac contractions, apnea and more while you sleep.","Mudit Dandwate, Dandwate",Prime VP,5000000.0,early traction,2021-01-01
496,BlackBuck,2015,Bangalore,Supply Chain and Logistics,BlackBuck marks the beginning of a new path in trucking. A path that is organized and makes trucking simple for every shipper and trucker.,"B Ramasubramanian, Chanakya Hridaya, Rajesh Yabaji",Tribe Capital,67000000.0,early traction,2021-01-01
497,Mailmodo,2020,Bangalore,Marketing and Advertising,Mailmodo is a complete email marketing solution enabling users to create and send app-like interactive emails to improve email conversions.,"Aquibur Rahman, Apurv Gupta, Devyesh Tandon",Sequoia’s Surge,2000000.0,validation,2021-01-01
498,SuperBeings,2019,Bangalore,Computer Software,"Continuous Leadership Development & Employee Engagement platform. Improve Leadership, Culture and Experience real-time.","Yasharth Mishra, Gaurav Bhawnani, Kunal Mishra",ndiya Partners,0.0,validation,2021-01-01
499,NirogStreet,2018,Delhi,Healthcare,Nirogstreet as a concept is working to make #Ayurveda first call of treatment.,am N Kumar,Gokul Rajaram,2500000.0,early traction,2021-01-01
500,Hyreo,2016,Thiruvananthapuram,Human Resources and HR Technology,Hyreo stands for delivering a ‘customer-like’ experience for candidates throughout the recruiting process.,"Arun Satyan, Mahesh Raju, Sreenath N",Callapina Capital,0.0,early traction,2021-01-01
501,GODI Energy,2020,Hyderabad,Automotive,GODI is a technology innovation organization focused on the design and manufacturing of green energy storage solutions.,Mahesh Godi,Blue Ashva Capital,0.0,others,2021-01-01
502,Even,2020,Bangalore,Healthcare,One monthly subscription to cover all your healthcare needs.,"Mayank Banerjee, Matilde Giglio, Alessandro Davide Ialongo",Khosla Ventures,5000000.0,validation,2021-01-01
503,Captain Fresh,2019,Bangalore,Supply Chain and Logistics,A B2B marketplace leveraging technology to deliver the fastest harvest-to-retail in the industry.,Utham Gowda,Accel Partners,12000000.0,early traction,2021-01-01
504,Otipy,2020,Gurgaon,Food and Beverages,Otipy helps the farmer to deliver farm fresh vegetables & fruits at doorstep.,Varun Khurana,Omidyar Network India,10200000.0,early traction,2021-01-01
505,Lenskart,2008,aridabad,Eyewear,India's fastest growing eyewear company and largest eyewear company online.,Peyush Bansal,Temasek,220000000.0,others,2021-01-01
506,Eka.care,2020,Bangalore,Healthcare,A digitally enabled and connected healthcare ecosystem for better health outcomes.,Vikalp Sahni,Deep Kalra,4500000.0,others,2021-01-01
507,Braingroom,2015,Chennai,Education Technology,"BrainGroom is an online marketplace for educational, recreational & wellness classes with defined target segment, quantifiable outcomes & specified time duration.","Madhula Sathyamoorthy, Naliene Ramasamy, Kalaiarsi Periasamy",IAN,200000.0,others,2021-01-01
508,Edvizo,2017,Bangalore,Consumer Goods and Services,"Edvizo is an online marketplace to help students and parents find, compare and enroll in the best and trusted private institutes in their locality",avi Nishant,Inflection Point Ventures,1000000.0,early traction,2021-01-01
509,Credenc,2017,Delhi,Fintech,An education loan platform to finance meritorious students for the college expenses by underwriting future employability,Avinash Kumar,Capital India,25000000.0,others,2021-01-01
510,GlobalBees,2021,Delhi,Direct-to-Consumer,Globalbees partners with entrepreneurs who have built an online-first business.  Our team scales up D2C businesses in India and abroad.,Nitin Agarwal,irstCry,150000000.0,early traction,2021-01-01
511,Spinny,2015,Gurgaon,Automotive,Spinny is a new age used car end-to-end platform in India.,"Niraj Singh, Mohit Gupta, Ramanshu Mahaur",Tiger Global,108000000.0,early traction,2021-01-01
512,Mynvax,2017,Bangalore,Biotechnology,Mynvax is a pre-clinical stage vaccine biotechnology. Current develop programs include a recombinant vaccine for human influenza and COVID19.,"Dr Raghavan Varadarajan, Dr Gautham Nadig",Accel,4000000.0,early traction,2021-01-01
513,RiseBird,2018,Pune,Human Resources and HR Technology,RiseBird provides on-demand 2.5K + expert video interviews and A.I. powered insights to help companies hire online.,Ashutosh Seth,SAB Holdings,500000.0,others,2021-01-01
514,Uvi Health,2020,Bangalore,Healthcare,Digital health platform delivering personalized care for women’s sexual and reproductive health concerns,Mehak Malik,Titan Capital,330000.0,validation,2021-01-01
515,Vegrow,2020,Bangalore,Farming,Vegrow is in the business of fresh fruits & vegetables with addressable market size of $43 Billion.,"Praneeth Kumar, Shobhit Jain, Mrudhukar Batchu, Kiran Naik",Lightspeed Venture Partners,13000000.0,others,2021-01-01
516,Automovill,2015,Bangalore,Automotive,"Automovill is a unique platform to aggregate automobile service providers, where we connect vehicle owners with all kind of automobile service providers under one roof.","Mridu Mahendra Das, Chinmay Baruah",Mumbai Angels Network,500000.0,others,2021-01-01
517,NFTically,2021,Gurgaon,NFT and Non-Fungible Tokens,"NFT Marketplace to buy or sell NFT tokens in minutes or set up your own NFT store, website, a storefront in minutes.",Toshendra Sharma,Jayanti KaNonei,0.0,validation,2021-01-01
518,HealthifyMe,2012,Bangalore,Healthcare,HealthifyMe is a revolutionary health and fitness application that is on a mission to transform a billion lives!,"Tushar Vashisht, Sachin Shenoy",LeapFrog,75000000.0,early traction,2021-01-01
519,GalaxyCard,2017,Gurgaon,Fintech,GalaxyCard is a mobile based Instant Credit Card.,Amit Kumar,JITO Angel Network,450000.0,others,2021-01-01
520,Bella Vita Organic,2018,Gurgaon,Healthcare,Bella Vita Organic or ‘The Good Life’ is dedicated to creating handcrafted and organic beauty solutions inspired by the natural elements of the earth and age old beauty best practices.,Aakash Anand,ANoneta Capital,10000000.0,others,2021-01-01
521,SmartCoin,2016,Bangalore,Fintech,India's Most Preferred Instant Loan App,"Jayant Upadhyay, Amit Chandel, Rohit Garg",Northern Arc,10000000.0,others,2021-01-01
522,CareerNinja,2017,Mumbai,Education Technology,"Careerninja Is A Funded, Early-stage Ed-tech Venture Building A Personalized Learning Platform To Help People Achieve Their Career Goals",Shronit Ladhaniai,Unitus Ventures,0.0,validation,2021-01-01
523,MYSUN,2016,Delhi,Solar,"India's Largest Online Rooftop Solar Platform for SMEs, Industries & Homes",Gagan Vermani,TATA Cleantech Capital,2000000.0,others,2021-01-01
524,Sea6 Energy,2010,Bangalore,Biotechnology,"Sea6 Energy envisions a future where the abundant oceans will be our biomass farms of tomorrow - to provide solutions in energy, agriculture and food.","Sailaja Nori, Nelson Vadassery, Sowmya Balendiran, Shrikumar Suryanarayan",Aqua-Spark,9000000.0,early traction,2021-01-01
525,Beco,2018,Mumbai,Consumer Goods and Services,"Eco-friendly home and kitchen care products that are plastic-free, high in quality and affordable.","Aditya Ruia, Akshay Varma, Anuj Ruia",Climate Angels Fund,500000.0,validation,2021-01-01
526,OneCode,2020,Bangalore,Internet,"OneCode is a platform which connects new age digital first brands with ""relevant"" sellers (aka OneCoders) to sell their products and services","Manish Shara, Yash Desai",Sequoia’s Surge,5000000.0,others,2021-01-01
527,MedPay,2020,Bangalore,Information Technology,MedPay® is building the real-time claims adjudication platform for health insurers.,"Arun Bhatia, Ravi Chandra",ntrepreneur First (EF),1200000.0,validation,2021-01-01
528,Inshorts,2013,Noida,Internet,Built Inshorts with a promise to deliver news,Azhar Iqubal,Vy Capital,60000000.0,others,2021-01-01
529,Digantara,2018,Bangalore,Space Technology and Defense,"Digantara is an Indian Space Technology Company incubated at Indian Institute of Science (IISc), establishing a space-based surveillance platform with global realtime earth coverage","Anirudh N Sharma, Rahul Rawat, Tanveer Ahmed",Kalaari Capital,2500000.0,validation,2021-01-01
530,Aqgromalin,2018,Chennai,Agricultural Technology,Aqgormalin is a tech driven farm diversification platform enabling farmers to diversify into Animal Husbandry and Aquaculture.,"Prasanna Manogaran, Bharani CL",Zephyr Peacock,700000.0,validation,2021-01-01
531,Square Yards,2014,Gurgaon,Real Estate and Property Technology,India’s largest tech enabled Real Estate Brokerage and Mortgage Marketplace,Tanuj Shori,ADM Capital,25000000.0,others,2021-01-01
532,OYO,2013,Gurgaon,Hospitality,OYO is a global platform that empowers entrepreneurs and small businesses with hotels and homes by providing full-stack technology,itesh Agarwal,SoftBank Vision Fund,660000000.0,others,2021-01-01
533,Slang Labs,2017,Bangalore,Computer Software,Slang Labs provides accurate and multilingual in-app voice assistants for Android and web apps,Kumar Rangarajan,100x Entrepreneurs,0.0,others,2021-01-01
534,NirogGyan,2019,Gurgaon,Healthcare,"Simplifying Diagnostics for labs, doctors, and people.","Joyneel Acharya, Shweta Gandhi",Healthcare veterans,0.0,validation,2021-01-01
535,Ola Electric,2017,Bangalore,Automotive,Ola Electric - The future of mobility is here.? Charging ahead to accelerate the world’s transition to sustainable mobility.,Bhavish Aggarwal,Bank of Baroda,100000000.0,others,2021-01-01
536,Bikry app,2019,Noida,Consumer Goods and Services,"Bikry, a Direct-to-Customer platform to start your online store within 30 seconds at 0% commission",Abhishek Bhayana,YCombinator,1300000.0,others,2021-01-01
537,Oliveboard,2012,Bangalore,Education Technology,Oliveboard is the top exam preparation platform for Banking & Government Exams.,"Abhishek Patil, V Satish Kumar",IAN Fund,3000000.0,others,2021-01-01
538,Little Leap,2020,Delhi,Education Technology,Soft Skills that make Smart Leaders,Holistic Development Programs for children in age range 5-15,Vishal Gupta,300000.0,others,2021-01-01
539,Trell,2016,Bangalore,Social Media,India's Largest Lifestyle Social Commerce platform. Empowering millions of storytellers & Micro-Entrepreneurs.,"Pulkit Agarwal, Prashant Sachan, Arun Lodhi, Bimal Kartheek Rebba",Mirae Asset,45000000.0,early traction,2021-01-01
540,Kredent,2008,Kolkata,Education Technology,Kredent Academy is the unique concept where financial market professionals have taken the onus of creating a strong knowledge bank in their area of expertise,"Vineet Patawari, Vivek Bajaj, Vinay Pagaria",Kotak Securities,1000000.0,others,2021-01-01
541,EasyAspataal,2020,Mumbai,Healthcare,India’s First Digital Admission Desk for Hospitalisation.,"Manoj Gupta, Gunjali Kothari",Venture Catalysts,500000.0,validation,2021-01-01
542,SMOOR,2008,Bangalore,Food and Beverages,Instigate your sixth sense with our new range of chocolates.,Vimal Sharma,Klub,0.0,others,2021-01-01
543,Pankhuri,2019,Bangalore,Social Media,"Pankhuri is a women's only community for members to socialize, explore and upskill through live interactive courses, expert chat and interest-based clubs.",Pankhuri Shrivastava,Sequoia’s Surge,3200000.0,others,2021-01-01
544,Arcana,2019,Bangalore,Information Technology,Arcana is the Storage Layer of Ethereum.,"Mayur Relekar, Aravindh Kumar, Abhishek Chaudhary",Balaji Srinivasan,370000.0,validation,2021-01-01
545,AdmitKard,2016,Noida,Education Technology,A tech solution for end to end career advisory to students looking to study abroad.,"Vamsi Krishna, Pulkit Jain, Gaurav Munjal",None,1000000.0,early traction,2021-01-01
546,UrbanKisaan,2017,Hyderabad,Food and Beverages,A modern farms close to where your home is. Creating positive change at every step from seed to store ensuring quality and traceability.,"Srinivas Chaganti, Vihari Kanukollu, Sairam Reddy",BASF Venture Capital GmbH,0.0,others,2021-01-01
547,Aquaconnect,2017,Chennai,Fishery,Aquaconnect is a global full-stack aquaculture technology venture that provides data-driven farm advisory and marketplace solutions to fish and shrimp farmers,ajamanohar,ebright Partners,4000000.0,early traction,2021-01-01
548,Vah Vah!,2020,Bangalore,Education Technology,A mission to educate India and make its young and dynamic population job ready.,"Shailesh Daxini, Akash Senapaty, Muthukaleeshwaran Subbiah",Sequoia Surge,1800000.0,others,2021-01-01
549,LetsDressUp,2019,Gurgaon,Fashion and Lifestyle,Building India's version of Stitch Fix,Aditya B,Titan Capital,300000.0,early traction,2021-01-01
550,Sapio Analytics,2019,Mumbai,Computer Software,Aim to provide the most intelligent AI-powered policy making solutions for government institutions across the world.,"Ashwin Srivastava, Hardik Somani, Prashant Nikam",Parthiv Group,150000.0,others,2021-01-01
551,BHyve,2020,Mumbai,Human Resources and HR Technology,A Future of Work Platform for diffusing Employee Tacit Knowledge and enabling Peer Learning Networks,Backed by 100x.VC,Omkar Pandharkame,300000.0,validation,2021-01-01
552,Indi Energy,2019,oorkee,"Renewable Energy, Environmental Services, and Clean Technology","Indi Energy is an energy storage startup involved in R&D of next generation battery technologies, with superior performance than current counterparts.",Dr. ASIT SAHOO,Mumbai Angels Network,0.0,validation,2021-01-01
553,The Ayurveda Co,2021,Gurgaon,Consumer Goods and Services,The Ayurveda Co. represents things that are all Ayurvedic at heart and are suited for the contemporary landscape.,"Param Bhargava, Shreedha Singh",GetVantage,0.0,others,2021-01-01
554,Pratilipi,2015,Bangalore,Online Storytelling,"Pratilipi is the largest Indian language self-publishing platform with over 350,000 authors and more than 28,000,000 unique monthly readers.",anjeet Pratap Singh,Krafton Inc,48000000.0,others,2021-01-01
555,Ati Motors,2017,Bangalore,Automotive,Autonomous industrial vehicle maker,"Saurabh Chandra, Saad Nasser",Blume Ventures,35000000.0,early traction,2021-01-01
556,peAR,2018,Mumbai,Deep Technology,An AR / VR tech based Start-up in Mumbai.,"Dharmin Vora, Dhruvesh Mehta, Parth Vora",Inflection Point Ventures,300000.0,early traction,2021-01-01
557,Gourmet Garden,2019,Bangalore,Farming,"100% contamination free, pesticide free naturoponically grown vegetables.",Arjun Balaji,Beyond Next Ventures,3000000.0,others,2021-01-01
558,The Sleep Company,2019,Mumbai,Consumer Goods and Services,Patent Pending sleep technology developed by actual Rocket Scientists and sleep experts after years of research.,None,ireside Ventures,1000000.0,early traction,2021-01-01
559,TyrePlex,2020,Delhi,Business-to-Business E-commerce,Tyreplex is digitizing the tyre dealers in India.,"Puneet Bhaskar, Rupendra Pratap Singh",AdvantEdge Founders,0.0,validation,2021-01-01
560,ION Energy,2016,Mumbai,Automotive,Advanced Electronics & Software Supplier for Electric Vehicles & Battery Energy Storage,Akhil Aryan,None,3600000.0,early traction,2021-01-01
561,Digit Insurance,2016,Bangalore,Insurance,"Digit becomes the first Unicorn of 2021, valued at $1.9B.",Kamesh Goyal,aering Capital,200000000.0,others,2021-01-01
562,FRAAZO,2020,Mumbai,Food and Beverages,FRAAZO is Mumbai's favourite App for Fresh Vegetables and Fruits coming straight from the Farm to your Doorstep within 18 Hours.,"Atul Kumar, Aashish Krishnatre",Sixth Sense Ventures,11000000.0,early traction,2021-01-01
563,Licious,2015,Bangalore,Food and Beverages,"Licious is a consumer food company, focussed at delighting the world with an unmatched range of meat & meat products.","Abhay Hanjura, Vivek Gupta",Temasek,192000000.0,early traction,2021-01-01
564,WinZO,2018,Delhi,Gaming,WinZO is the largest social gaming and entertainment platform in India.,Paavan Nanda,Griffin Gaming Partners,65000000.0,early traction,2021-01-01
565,Furlenco,2012,Bangalore,Consumer Goods and Services,Furlenco is a different furniture company.,Ajith Mohan Karimpana,Zinnia Global,100000000.0,others,2021-01-01
566,Skylark Drones,2014,Bangalore,Aerospace,"Enterprise drone solutions that help plan, build, and sustain the world we live in.",Mughilan Thiru Ramasamy,InfoEdge Ventures,3000000.0,early traction,2021-01-01
567,Leegality,2016,Gurgaon,Information Technology,"The market standard for eSign, eStamp and Document Workflow in India. Eliminating paper from paperwork since 2016",Shivam Singla,IIFL,0.0,early traction,2021-01-01
568,Arcatron Mobility,2015,Pune,Healthcare,Mission is to advance global standards of assisted living and make it dignified and safer.,Ganesh Sonawane,Klub,0.0,others,2021-01-01
569,TWID,2020,Bangalore,Fintech,"TWID is shaping the future of Digital Currencies, delivering new-age fintech solutions","Amit Sharma, Amit Koshal, Rishi Batra",BEENEXT,2500000.0,others,2021-01-01
570,PeakPerformer,2020,Bangalore,Education Technology,"A goal-oriented, outcome-driven platform to make leadership coaching accessible to all.","Aishwarya Goel, Gaurav Jhunjhnuwala",Antler India,0.0,early traction,2021-01-01
571,MyMobiForce,2018,Noida,Internet,"Crowdsourcing platform imparting best-in-class services with immensely talented, skilled & qualified workforce pan-India","Dheeraj Khatter, Himanshu Kumar, Kshitiz Saini",Bharat Inclusion,1400000.0,early traction,2021-01-01
572,Pine Labs,1998,Noida,Information Technology,A merchant platform company that provides financing and last-mile retail transaction technology to merchants,Amrish Rau,idelity,600000.0,others,2021-01-01
573,Genworks Health,2015,Bangalore,Healthcare,GENWORKS Health is an initiative by GE for empowering healthcare professionals operating in the rural areas to deliver better medical facilities and diagnostics while keeping things affordable.,S Ganeshprasad,Blacksoil,2000000.0,others,2021-01-01
574,Pocketly,2019,Bangalore,Fintech,"Pocketly provides quick cash on hand, anytime - anywhere!","Aarav Bhatia, Navdeesh Ahuja",None,0.0,others,2021-01-01
575,Neverinstall,2019,Bangalore,Information Technology,A cloud platform to bring any GUI application regardless of OS and Device type to the browser.,"Lakshmana Pasala, Ram Pasala",Speciale Invest,370000.0,validation,2021-01-01
576,CoRover,2016,Bangalore,Information Technology,CoRover is the world’s first and the highest ROI delivering human-centric conversational AI platform.,"Ankush Sabharwal, Manav Gandotra, Kunal Bhakhri",Canbank Venture Capital Fund,0.0,others,2021-01-01
577,BeatO,2015,Delhi,Healthcare,ULTIMATE app to manage chronic conditions.,Gautam Chopra,W Health Ventures,5000000.0,early traction,2021-01-01
578,Earth Rhythm,2020,Gurgaon,"Cosmetics, Personal Care, and Beauty Products",A mission to make customers healthier and Earth a little greener.,Harini Sivakumar,Anicut Angel Fund,1200000.0,validation,2021-01-01
579,Fountain9,2019,Mumbai,Computer Software,"Fountain9 is a Y Combinator backed company, which offers predictive inventory planning and optimization software for e-commerce, DTC and retail companies.","Niki Khokale, Rajas Lonkar",021 Capital,1900000.0,validation,2021-01-01
580,Rockclimber,2019,Bangalore,Food and Beverages,RockClimber is a new age beverage brand with a portfolio of alcoholic and non alcoholic drinks.,"Deepak Poduval, Hariprasad Shetty",ANoned Prakash Sharma,1000000.0,others,2021-01-01
581,SpEd@home,2020,Mumbai,Education Technology,"Provide Remediation, Occupational Therapy, Speech Therapy and Socio-emotional coaching for children with Learning Disabilities like Dyslexia, Dysgraphia, Dyscalculia",Dhaval Mody,None,300000.0,others,2021-01-01
582,CanPe,2019,Bangalore,Computer Software,"Digital-first debt collections platform that is driven by compassion, and powered by AI.",Arindam Choudhury,Axilor Ventures,0.0,validation,2021-01-01
583,Green Soul,2016,Ambernath,Consumer Goods and Services,Green Soul is No.1 brand on Amazon India in Ergonomic chairs category in terms of customer reviews.,avi Khushwani,velocity.in,200000.0,others,2021-01-01
584,Shiprocket,2012,Delhi,Supply Chain and Logistics,India's #1 eCommerce Logistics and Shipping Solution Empowering over 1 Lakh Indian eCommerce Sellers.,"Saahil Goel, Akshay Ghulati",March Capital,41000000.0,early traction,2021-01-01
585,DealShare,2018,Bangalore,Retail,The next generation disruptive (social) e-commerce product for the masses.,"ajat Shikhar, Vineet Rao, Sourjyendu Medda",Tiger Global,144000000.0,others,2021-01-01
586,Teachmint,2020,Bangalore,Education Technology,Teachmint is an all-in-one education technology platform created specifically for the tutors of the digital age.,"Mihir Gupta, Payoj Jain, Divyansh Bordia, Anshuman Kumar",Learn Capital,20000000.0,early traction,2021-01-01
587,Vahak,2017,Bangalore,Transportation and Mobility,Building India's Largest & Most Trusted Online Transport Marketplace & Directory,"Vikas Chandrawat, Karan Shaha",TP Global,5000000.0,early traction,2021-01-01
588,goSTOPS,2014,Delhi,Hospitality,goSTOPS aims to be India’s biggest and most loved backpacker hostel brand.,"Pallavi Agarwal, Pankaj Parwanda",IAN,1000000.0,early traction,2021-01-01
589,Codedamn,2020,Delhi,Computer Software,Codedamn enables anyone to learn and practice real-world programming skills and become industry relevant through our learning paths.,Mehul Mohan,Antler India,0.0,validation,2021-01-01
590,Biocraft Innovation Technology,2019,Noida,"Renewable Energy, Environmental Services, and Clean Technology",Innovation startup developing bamboo resources of India to be used in industrial use by developing injection moulding granules,"Vibha Mittal, Anubhav Mittal",JITO Angel Network,0.0,validation,2021-01-01
591,Powerplay,2020,Bangalore,Construction and Construction Technology,Powerplay helps simplify end to end Construction and Architecture project management.,"Shubham Goyal, Lesh Dixit",Sequoia’s Surge,5200000.0,others,2021-01-01
592,Accio Robotics,2020,Bangalore,Industrial Automation,Accio Robotics is involved in the designing and manufacturing of state-of-the-art Robotics Automation solutions.,"Tuhin Sharma, Pranav Srinivasan",Uday Sodhi,0.0,others,2021-01-01
593,Delhivery,2011,Gurgaon,Supply Chain and Logistics,"Delhivery is a supply chain services company that provides transportation, warehousing, freight, and order fulfillment services.","Bhavesh Manglani, Kapil Bharati, Mohit Tandon, Sahil Barua, Suraj Saharan",idelity,270000000.0,early traction,2021-01-01
594,Avishkaar,2014,Delhi,Education Technology,India's leading Ed-Tech startup spearheading the Maker Revolution in the sub-continent,"ajeev Gaba, Tarun Bhalla",Auxano,600000.0,early traction,2021-01-01
595,Jobsgaar,2020,Delhi,Recruitment and Staffing,India's first District level/ Hyper Local Job discovery platform,Atul Pratap Singh,SucSEED Indovation Fund,140000.0,validation,2021-01-01
596,Almo,2020,Gurgaon,Fashion and Lifestyle,Almo is a Premium Men's essentianls wear brand focused on bringing sophisticated yet functional designs to wardrobe.,Abhishek Shah,Angelist India,0.0,validation,2021-01-01
597,Breathe Well-being,2015,Delhi,HealthCare,Breathe Wellbeing is an interactive and personalized platform that helps organization increase employee engagement and productivity.,"Aditya Kaicker, Rohan Verma",Stanford Angels and Entrepreneurs India,1000000.0,early traction,2021-01-01
598,GalaxEye,2020,Chennai,Space Technology and Defense,GalaxEye enables businesses to make better Decisions & perform operations efficiently via Space Technology.,"Denil Chawda, Kishan Thakkar, Pranit Mehta, Satyanarayanan Chakravarthy, Suyash Singh",Speciale Invest,0.0,validation,2021-01-01
599,Good Health Clinic,2021,Hyderabad,HealthCare,Full Stack Digital Health Clinic,Samarth Sindhi,Khosla Ventures,5000000.0,others,2021-01-01
600,Urban Company,2014,Delhi,Home Services,Urban Company is an India-based company providing a marketplace for freelance labor.,"Abhiraj Singh Bhal, Raghav Chandra, Varun Khaitan",Vy Capital,250000000.0,early traction,2021-01-01
601,MYBYK,2014,Ahmedabad,Rental Services,MYBYK is an app that provides premium bicycle sharing and rental service.,Arjit Soni,Avon Cycles,1000000.0,early traction,2021-01-01
602,Locus,2015,Bangalore,Supply Chain and Logistics,Locus is an intelligent decision-making and automation platform for logistics.,"Geet Garg, Nishith Rastogi",Blume Ventures,50000000.0,early traction,2021-01-01
603,Crejo.Fun,2020,Bangalore,Education Technology,Crejo.Fun is a digital extracurricular learning platform being built with an intent to help children discover their passions and interests through creative learning.,Vikas Bansal,Matrix Partners India,3000000.0,validation,2021-01-01
604,Bambinos,2020,Bangalore,Education Technology,Cohort based extracurricular course for kids,"Ashish Gupta, Ankit Hetamsaria",HNIs,500000.0,validation,2021-01-01
